ResourceID,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Bibliographic Reference,Copyright Description,Copyright Type,Date of Creation,Date of Publication,Description,Description Type,Document,External Identifier Type,External Source,External XRef,Geometry Qualifier,Information Carrier,Information Carrier Format Type,Information Resource Type,Keyword,Language_Type,Place Address,Place Description,Primary Reference Number,Spatial Coordinates Geometry,Temporal Coverage Timespan,Title,Title Type
04dff520-149c-0138-c574-740f24312a1c,,St. Helier,Parish,,,,2019-11-28,,,,,,,,,1. Jersey Heritage Archaeology collection,,"1. Sherd (A/0003960), tooth fragments (A/0003962), flint (A/0003963-4), stones (A/0003965-7, A/0003970)",,,", Halkett Place",,0400964,GEOMETRYCOLLECTION (POINT (-2.104141 49.186892)),,,
063ddfe0-116c-0138-9144-740f24312a1c,Postal Address,St. Martin,Parish,"Blackstone, C. & Le Quesne, K. 1999. St Martin, Jersey. The Story of an Island Parish. Phillimore, Chichester. ",,,2019-05-30,,,,,Listed building,Government of Jersey,MN0023,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"The Old School House, La Rue des Alleurs",,0700023,GEOMETRYCOLLECTION (POINT (-2.04945 49.228354)),,The Old School House,
f178bb90-1168-0138-9141-740f24312a1c,Field Number,St. Mary ,Parish,,,,2018-05-22,,,,,,,,,1. Jersey Heritage Archaeology collection ,,1. Artefacts (A/0010125-31) ,,,"Lithic Scatter, Field MY154",,0800188,GEOMETRYCOLLECTION (POINT (-2.177662 49.247939)),,Lithic Scatter,
299078d0-1168-0138-9135-740f24312a1c,Postal Address,St. Saviour,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2020-02-04,,,,,Listed building,Government of Jersey,SA0154,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"4 Belgreve Terrace, Dicq Road",,1100154,GEOMETRYCOLLECTION (POINT (-2.09588 49.178437)),,4 Belgreve Terrace,
2f16bd20-1168-0138-9138-740f24312a1c,Postal Address,St. Peter,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,,,,,,,,,,,,,,,"St Peter's Villa, La Route de Beaumont",,1000290,GEOMETRYCOLLECTION (POINT (-2.159134 49.196643)),,St Peter's Villa,
b3877af0-149f-0138-c57a-740f24312a1c,Postal Address,Trinity,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. Stevens, C. 1977. Windmills, Water-Mills and Streams of Jersey. [Unpublished research] Stevens, C. & Stevens, M. 1986. Jersey Place Names, Volumes I & II. Société Jersiaise, Jersey. ",,,2018-05-16,,,,,Listed building,Government of Jersey,TR0050,,1. Société Jersiaise 2. Government of Jersey 3. Jersey Heritage Social History collection,,"1. Sites and Monuments Database 2. Listing photographs, Historic Environment Resurvey 3. Stamps (JERSM/2012/00161/001-2)","Mill,Richmond Map",,"Le Moulin de Ponterrin, La Rue du Moulin de Ponterrin",,1200050,GEOMETRYCOLLECTION (POINT (-2.086811 49.216088)),,Le Moulin de Ponterrin,
04afba70-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2019-08-30,,,,,Listed building,Government of Jersey,HE0520,,1. Government of Jersey ,,"1. Listing photographs, Historic Environment Resurvey ",,,"8, Windsor Road",,0400520,GEOMETRYCOLLECTION (POINT (-2.106317 49.189292)),,8,
04d887a0-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2019-11-04,,,,,Listed building,Government of Jersey,HE1815,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey ",,,"12, La Chasse",,0401815,GEOMETRYCOLLECTION (POINT (-2.10257 49.182456)),,12,
064b95f0-116c-0138-9144-740f24312a1c,Postal Address,St. Martin,Parish,"Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 03.06.2019)",,,,,,,,,,,,,,,,,"Datestone '1826' , Le Mont de Rozel",,0700374,GEOMETRYCOLLECTION (POINT (-2.04607 49.235557)),,Datestone '1826' ,
0643da30-116c-0138-9144-740f24312a1c,Postal Address,St. Martin,Parish,"Blackstone, C. & Le Quesne, K. 1999. St Martin, Jersey. The Story of an Island Parish. Phillimore, Chichester.  McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.  Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London. Stevens, J. 1980. Old Jersey Houses, Volume One. Fourth ed. Phillimore, London.",,,2019-05-31,,,,,Listed building,Government of Jersey,MN0186,,1. Government of Jersey 2. Société Jersiaise,,"1. Listing photographs, Historic Environment Resurvey 2. Sites and Monuments Database",Richmond Map,,"Houguemont, La Rue d'Aval",,0700186,GEOMETRYCOLLECTION (POINT (-2.037226 49.202087)),,Houguemont,
04bffc80-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,"Brett, C.E.B. 1977. Buildings in the Town and Parish of St Helier. Adelphi, Belfast. Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2019-09-12,,,,,Listed building,Government of Jersey,HE0982,,1. Government of Jersey ,,"1. Listing photographs, Historic Environment Resurvey ",,,"14, Duhamel Place",,0400982,GEOMETRYCOLLECTION (POINT (-2.1046 49.187484)),,14,
f17a11a0-1168-0138-9141-740f24312a1c,,St. Mary ,Parish,"Ginns, M. 1999. Jersey's German Bunkers. Channel Islands Occupation Society (Jersey), St. Ouen. States of Jersey. 1975. German Occupation Sites Map. States of Jersey Library Service. ",,,,,,,,,,,,,,,German Occupation,,Site of Resistance Nest La Falaise,,0800222,GEOMETRYCOLLECTION (POINT (-2.168799 49.251927)),,Site of Resistance Nest La Falaise,
2996b330-1168-0138-9135-740f24312a1c,Postal Address,St. Saviour,Parish,"Gibb, M., and Molyneux N. 1999. Post-Reformation Churches and Chapels in Jersey. [Unpublished report] Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Lake, J. 2008. Methodist Chapels in Jersey: History and Context. Jersey Heritage Trust, Jersey.  Leerson, M. 2014. What's Your Street's Story?: Georgetown. [Unpublished talk] ",,,2020-01-04,,,,,Listed building,Government of Jersey,SA0047,,1. Government of Jersey 2. Société Jersiaise 3. Jersey Archive 4. Jersey Heritage Social History collection,,"1. Listing photographs, Historic Environment Resurvey 2. Sites and Monuments Database 3. Records (J/C/T), Photographs (L/A/75/A3/4/420A) 4. Plate (JERSM/1998/00459)",Place of Worship,,"Georgetown Methodist Church, Georgetown Road",,1100047,GEOMETRYCOLLECTION (POINT (-2.091892 49.178937)),,Georgetown Methodist Church,
fca46ef0-149c-0138-c577-740f24312a1c,Postal Address,St. Ouen,Parish,"Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. Le Quesne, R. 2018. Project Design for an Archaeological Watching Brief. 'Les Geonnais de Bas', Rue des Geonnais, St Ouen, JE3 2BS, Jersey. [Unpublished report] McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London.",,,2018-12-18,,,,,Listed building,Government of Jersey,OU0055,,1. Government of Jersey 2. Société Jersiaise,,"1. Listing photographs, Historic Environment Resurvey 2. Sites and Monuments Database",Richmond Map,,"Les Geonnais De Bas, La Rue des Géonnais",,0900055,GEOMETRYCOLLECTION (POINT (-2.214798 49.249961)),,Les Geonnais De Bas,
b3879100-149f-0138-c57a-740f24312a1c,Postal Address,Trinity,Parish,"Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 14.05.2018) Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. ",,,2018-05-18,,,,,Listed building,Government of Jersey,TR0167,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",Richmond Map,,"Ville es Normans North, La Neuve Route",,1200167,GEOMETRYCOLLECTION (POINT (-2.108838 49.22704)),,Ville es Normans North,
04cef080-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2019-10-18,,,,,Listed building,Government of Jersey,HE1425,,1. Government of Jersey 2. Société Jersiaise Photographic Archive,,"1. Listing photographs, Historic Environment Resurvey 2. Photographs (SJPA/007640, SJPA/032919, SJPA/034740)",Richmond Map,,"14, Royal Square",,0401425,GEOMETRYCOLLECTION (POINT (-2.105554 49.184053)),,14,
0bf7c3f0-116c-0138-9147-740f24312a1c,Postal Address,St. Lawrence,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2020-02-07,,,,,Listed building,Government of Jersey,LA0206,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"Woodville House, La Rue de Haut",,0600206,GEOMETRYCOLLECTION (POINT (-2.141462 49.20027)),,Woodville House,
850107b0-1168-0138-913b-740f24312a1c,Postal Address,Grouville,Parish,"Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey.",,,2020-12-02,,,,,,,,,,,,,,"Fairlands, La Petite Rue du Nord",,0300312,GEOMETRYCOLLECTION (POINT (-2.064071 49.197736)),,Fairlands,
29962940-1168-0138-9135-740f24312a1c,Postal Address,St. Saviour,Parish,"Foster, T. 2012. What's Your Street's Story?: Five Oaks. [Unpublished talk] Stevens, C. & Stevens, M. 1986. Jersey Place Names, Volumes I & II. Société Jersiaise, Jersey.",,,2020-01-04,,,,,,,,,1. Société Jersiaise Photographic Archive 2. Jersey Heritage Social History collection,,"1. Photograph (SJPA/012127) 2. Bricks (JERSM/2000/00042/005, JERSM/2010/00109)",,,"Site of Copps Brick Works - Five Oaks, La Grande Route de St Martin",,1100112,GEOMETRYCOLLECTION (POINT (-2.081277 49.199365)),,Site of Copps Brick Works - Five Oaks,
fcac8500-149c-0138-c577-740f24312a1c,Postal Address,St. Ouen,Parish,"Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 08.11.2018)  Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London.",,,2018-12-19,,,,,Listed building,Government of Jersey,OU0247,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",Richmond Map,,"La Maison du Maresquet, La Route des Landes",,0900247,GEOMETRYCOLLECTION (POINT (-2.237955 49.245635)),,La Maison du Maresquet,
298b7f70-1168-0138-9135-740f24312a1c,Postal Address,St. Saviour,Parish,,,,2020-01-04,,,,,Listed building,Government of Jersey,SA0008,,1. Government of Jersey 2. Jersey Archive,,"1. Listing photographs, Historic Environment Resurvey 2. Schedule (D/AL/C2/1085), Photograph (D/AL/C4/1085)",,,"Baxby, Beach Road",,1100008,GEOMETRYCOLLECTION (POINT (-2.096312 49.178199)),,Baxby,
04cbe690-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,"Brett, C.E.B. 1977. Buildings in the Town and Parish of St Helier. Adelphi, Belfast. Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2019-10-16,,,,,Listed building,Government of Jersey,HE1332,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey ",,,"7 Queen's Road Terrace, Queen's Road",,0401332,GEOMETRYCOLLECTION (POINT (-2.10915 49.19351)),,7 Queen's Road Terrace,
50848210-116c-0138-9150-740f24312a1c,Field Number,St. Brelade,Parish,"Stevens, C. & Stevens, M. 1986. Jersey Place Names, Volumes I & II. Société Jersiase, Jersey.",,,2019-07-26,,,,,,,,,,,,,,"Champ de la Hougue, Field B443",,0100378,GEOMETRYCOLLECTION (POINT (-2.228733 49.182816)),,Champ de la Hougue,
f1777dc0-1168-0138-9141-740f24312a1c,Field Number,St. Mary ,Parish,"Finch, O. & Hills, R. 2007. Jersey Heritage Archaeological Evaluation. Unpublished research for States of Jersey, Jersey. Stevens, C. & Stevens, M. 1986. Jersey Place Names, Volumes I & II. Société Jersiase, Jersey.",,,2018-05-22,,,,,,Government of Jersey,MY0149,,1. Société Jersiaise ,,1. Sites and Monuments Database,,,"Clos De La Houguette Nord, Field MY246",,0800149,GEOMETRYCOLLECTION (POINT (-2.175353 49.24547)),,Clos De La Houguette Nord,
29929f50-1168-0138-9135-740f24312a1c,Postal Address,St. Saviour,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.",,,2020-02-04,,,,,Listed building,Government of Jersey,SA0216,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"1 Woodburne, La Ruette de Patier",,1100216,GEOMETRYCOLLECTION (POINT (-2.087404 49.194279)),,1 Woodburne,
04aa1ca0-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2019-08-27,,,,,Listed building,Government of Jersey,HE0370,,1. Government of Jersey ,,"1. Listing photographs, Historic Environment Resurvey ",,,"47, Oxford Road",,0400370,GEOMETRYCOLLECTION (POINT (-2.100456 49.189033)),,47,
f1726900-1168-0138-9141-740f24312a1c,Postal Address,St. Mary,Parish,"Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 13.10.2017 )  Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.  Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London. ",,,2020-12-03,,,,,Listed building,Government of Jersey,MY0030,,1. Government of Jersey 2. Société Jersiaise,,"1. Listing photographs, Historic Environment Resurvey 2. Sites and Monuments Database",Richmond Map,,"La Haute Tombette, La Rue de la Grosse Épine",,0800030,GEOMETRYCOLLECTION (POINT (-2.163249 49.24269)),,La Haute Tombette,
fe326020-1e88-0138-8d6a-740f24312a1c,,St. Lawrence,Parish,,,,2020-02-09,,,,,,,,,1. Jersey Heritage Archaeology collection,,1. Axe (A/0006088),,,,,0600295,GEOMETRYCOLLECTION (POINT (-2.097693 49.182976)),,Axe,
84fcd3d0-1168-0138-913b-740f24312a1c,Postal Address,Grouville,Parish,"Anon. 1960. Parish Church of St Martin de Grouville. [Booklet] Anthony, R. 2001. Grouville, Jersey. The History of a Country Parish. Parish of Grouville, Jersey. Balleine, G.R. & Stevens J (ed.) 1970. The Bailiwick of Jersey. Hodder & Stroughton, London. Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Le Quesne, R. 2014. Report on Archaeological Evaluation Excavations. The Human Remains. St Martin's Church, Grouville, Jersey, 2014. [Unpublished report] Lempriere, R. 1980. Buildings and Memorials of the Channel Islands. Robert Hale Limited, London. Martin, P., Randall, C., Timby, J. 2011. Interim Report on the results of an Archaeological Watching Brief & Excavation in Conjunction with the Development of Grouville Parish Church, La Rue à Don, Grouville, JE2 9GB. [Unpublished report] McCormack, J. 1986. Channel Islands Churches. Phillimore, Chichester.   Poingdestre, F. H. 1983. The Parish Church of St Martin de Grouville. [Booklet] Waterhouse, R. 2015. St Martin's Church, Grouville, Jersey. An Archaeological Evaluation. [Unpublished report] Warton, R.G. 1920. The Parish Churches of Jersey. Société Jersiaise, Jersey. ",,,2020-08-02,,,,/files/uploadedfiles/0300046_Grouville_Parish_Church_Interim_Archaeological_Report_2011.pdf,Listed building,Government of Jersey,GR0046,,1. Government of Jersey 2. Société Jersiaise 3. Jersey Archive 4. Société Jersiaise Photographic Archive,,"1. Listing photographs, Historic Environment Resurvey 2. Sites and Monuments Database 3. Plans (D/Y/Q4/23-4) 4. Photographs (sample of collection: SJPA/002050-2, SJPA/005907, SJPA/005915-6)","Richmond Map,Place of Worship",,"Grouville Parish Church, La Rue à Don",,0300046,GEOMETRYCOLLECTION (POINT (-2.050177 49.183758)),,Grouville Parish Church,
04b024b0-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,"Ahier, P. & Ashworth, W.S. 1979. The Historical Hotels and Inns of Jersey. Ashton & Denton Publishing Co. (C.I.) Ltd., Newport. White, J. 2012. What's Your Street's Story?: Bath Street. [Unpublished talk]",,,2019-08-30,,,,,Listed building,Government of Jersey,HE0531/HE1938,,1. Government of Jersey 2. Jersey Archive,,"1. Listing photographs, Historic Environment Resurvey 2. Fire Insurance Registers (L/A/20/A)",,,"90-92, Bath Street",,0400531,GEOMETRYCOLLECTION (POINT (-2.102688 49.187054)),,90-92,
2f17f560-1168-0138-9138-740f24312a1c,Postal Address,St. Peter,Parish,"Ginns, M. 1999. Jersey's German Bunkers. Channel Islands Occupation Society (Jersey), St. Ouen. States of Jersey. 1975. German Occupation Sites Map. States of Jersey Library Service. ",,,,,,,,,,,,,,,German Occupation,,Site of Resistance Nest Hagebutten Park,,1000320,GEOMETRYCOLLECTION (POINT (-2.177209 49.216312)),,Site of Resistance Nest Hagebutten Park,
b389f330-149f-0138-c57a-740f24312a1c,Postal Address,Trinity,Parish,"Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 10.04.2018) Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey.",,,2018-05-18,,,,,,,,,,,,,,"Highlands, La Rue des Câtieaux",,1200115,GEOMETRYCOLLECTION (POINT (-2.085058 49.227278)),,Highlands,
04a472b0-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,"Brett, C.E.B. 1977. Buildings in the Town and Parish of St Helier. Adelphi, Belfast. Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Leerson, M. 2016. What's Your Street's Story?: Great Union Road and Aquila Road  [Unpublished talk]",,,2019-08-20,,,,,Listed building,Government of Jersey,HE0224,,1. Government of Jersey 2. Société Jersiaise Photographic Archive 3. Jersey Archive 4. Société Jersiaise,,"1. Listing photographs, Historic Environment Resurvey 2. Photographs (sample of collection: SJPA/004982, SJPA/033013) 3. Proposed memorial chapel (D/Y/Q4/69), files (G/C/03/C20, G/C/14), photographs (sample of collection: L/A/75/A2/BUI/71/1, L/A/75/A3/2/4721, P/03/181/01) 4. Sites and Monuments Database",Place of Worship,,"St Simon's Church, Great Union Road",,0400224,GEOMETRYCOLLECTION (POINT (-2.106461 49.188875)),,St Simon's Church,
507f4590-116c-0138-9150-740f24312a1c,Postal Address,St. Brelade,Parish,"Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham. ",,,2019-07-26,,,,,Listed building,Government of Jersey,BR0226,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",Richmond Map,,"La Roserie, La Rue des Longchamps",,0100226,GEOMETRYCOLLECTION (POINT (-2.18423 49.190344)),,La Roserie,
04b42550-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2019-09-02,,,,,Listed building,Government of Jersey,HE0640,,1. Government of Jersey ,,"1. Listing photographs, Historic Environment Resurvey ",,,"83-85, Don Road",,0400640,GEOMETRYCOLLECTION (POINT (-2.097317 49.181058)),,83-85,
46b10e30-116c-0138-914a-740f24312a1c,Postal Address,St. John,Parish,"Knocker, G.S. 1936. The Windmills of Jersey. Annual Bulletin of the Société Jersiaise, 13, 91-106. Stevens, C. 1977. Windmills, Water-Mills and Streams of Jersey. [Unpublished research] Stevens, C. & Stevens, M. 1986. Jersey Place Names, Volumes I & II. Société Jersiaise, Jersey. ",,,2018-03-26,,,,,,,,,1. Société Jersiaise 2. Société Jersiaise Photographic Archive 3. Jersey Heritage Art collection ,,"1. Sites and Monuments Database 2. Photographs (Sample of collection: SJPA/001810, SJPA/002432) 3. Painting (SJA/0000/03669), Prints (Sample of collection: SJA/0000/01845, SJA/0000/02250)",Mill,,"Site of Mont Mado Windmill, Mont Mado Lane",,0500237,GEOMETRYCOLLECTION (POINT (-2.124951 49.246739)),,Site of Mont Mado Windmill,
84fce9e0-1168-0138-913b-740f24312a1c,Postal Address,Grouville,Parish,"Anthony, R. 2001. Grouville, Jersey. The History of a Country Parish. Parish of Grouville, Jersey. Balleine, G.R. & Stevens J (ed.) 1970. The Bailiwick of Jersey. Hodder & Stroughton, London. Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Romeril, L. 2014. La Rocque. In: Romeril, L., et al. What’s Your Street’s Story? Jersey Heritage Trust, Jersey, 35-43. Romeril, L. 2016. What's Your Street's Story?: La Rocque. [Unpublished talk]",,,2020-08-02,,,,,Listed building,Government of Jersey,GR0079,,1. Government of Jersey 2. Jersey Archive 3. Jersey Heritage Social History collection 4. Société Jersiaise Photographic Archive,,"1. Listing photographs, Historic Environment Resurvey 2. Plans (D/AL/A6/46(c)), Report (D/Q/K3/1) 3. Stamps (JERSM/2012/00241/001) 4. Photographs (sample of collection: SJPA/000578, SJPA/001058, SJPA/001965-7)",German Occupation,,"La Rocque Harbour, La Grande Route des Sablons",,0300079,GEOMETRYCOLLECTION (POINT (-2.032844 49.164139)),,La Rocque Harbour,
5718c800-1e0c-0138-8d56-740f24312a1c,,St. Brelade,Parish,,,,2020-02-08,,,,,,,,,1. Société Jersiaise 2. Jersey Heritage Archaeology collection,,1. Fieldwalking card 2. Pottery (A/0003454),,,,,0100461,GEOMETRYCOLLECTION (POINT (-2.097693 49.182976)),,Sherd,
29982b70-1168-0138-9135-740f24312a1c,Postal Address,St. Saviour,Parish,"Aubin, N. 2018. The Neolithic Passage Graves of Jersey: Locating the Lost Sites. Annual Bulletin of the Société Jersiaise, 32, 355-376. Finch, O. & Hills, R. 2007. Jersey Heritage Archaeological Evaluation. Unpublished research for States of Jersey, Jersey.",,,2019-04-24,,,,,Listed place,Government of Jersey,SA0319,,1. Government of Jersey 2. Société Jersiaise,,1. Listing photographs 2. Sites and Monuments Database,Megalithic,,"Patier Lane Stone, Highlands Lane",,1100322,GEOMETRYCOLLECTION (POINT (-2.094553 49.191872)),,Patier Lane Stone,
06427ed0-116c-0138-9144-740f24312a1c,Postal Address,St. Martin,Parish,"Blackstone, C. & Le Quesne, K. 1999. St Martin, Jersey. The Story of an Island Parish. Phillimore, Chichester.  Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 03.06.2019) Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London.",,,2019-05-31,,,,,Listed building,Government of Jersey,MN0143,,1. Government of Jersey 2. Société Jersiaise,,"1. Listing photographs, Historic Environment Resurvey 2. Sites and Monuments Database",,,"Le Fleurion, La Rue de la Forge",,0700143,GEOMETRYCOLLECTION (POINT (-2.043342 49.217306)),,Le Fleurion,
b384e940-149f-0138-c57a-740f24312a1c,Postal Address,Trinity,Parish,,,,2018-05-18,,,,,Listed building,Government of Jersey,TR0087,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",German Occupation,,"Army Observation Post M5, Belle Hougue Point (NE corner of field 25)",,1200087,GEOMETRYCOLLECTION (POINT (-2.096272 49.251712)),,Army Observation Post M5,
04b248c0-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,"Leerson, M. 2016. What's Your Street's Story?: Great Union Road and Aquila Road  [Unpublished talk]",,,2019-08-30,,,,,Listed building,Government of Jersey,HE0591,,1. Government of Jersey ,,"1. Listing photographs, Historic Environment Resurvey ",,,"13, Great Union Road",,0400591,GEOMETRYCOLLECTION (POINT (-2.107002 49.18779)),,13,
06404440-116c-0138-9144-740f24312a1c,Postal Address,St. Martin,Parish,"Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 03.06.2019) Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey.",,,2019-05-30,,,,,Listed building,Government of Jersey,MN0083/MN0253/MN0299,,1. Government of Jersey 2. Jersey Archive,,"1. Listing photographs, Historic Environment Resurvey 2. Plans (L/A/06/D/465, L/A/06/E/24)",,,"Le Pre , La Rue des Raisies",,0700083,GEOMETRYCOLLECTION (POINT (-2.055496 49.223618)),,Le Pre ,
84f9fff0-1168-0138-913b-740f24312a1c,Postal Address,Grouville,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2020-12-02,,,,,,,,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"Hillside Cottage, Le Vier Mont",,0300160,GEOMETRYCOLLECTION (POINT (-2.069566 49.182372)),,Hillside Cottage,
298da180-1168-0138-9135-740f24312a1c,Postal Address,St. Saviour,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2020-01-04,,,,,Listed building,Government of Jersey,SA0070,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"Beau Regard , Plat Douet Road",,1100070,GEOMETRYCOLLECTION (POINT (-2.087028 49.180924)),,Beau Regard ,
a7eea890-8644-11eb-8701-0275d4869ef4,Postal Address,St. Helier,Parish,"Hotton, C. 1996. Identification of archaeologically sensitive areas within the town of Saint Helier, Jersey, Channel Islands. [Unpublished report]",,,,,,,,,,,,,,,,,Seaton Place,,0401196,GEOMETRYCOLLECTION (POINT (-2.112221 49.186327)),,Seaton Place,
57189530-1e0c-0138-8d56-740f24312a1c,Postal Address,St. Brelade,Parish,,,,2020-01-08,,,,,,,,,1. Jersey Heritage Archaeology collection,,1. Rubber (A/0004532),,,,,0100452,GEOMETRYCOLLECTION (POINT (-2.200034 49.190355)),,Rubber,
