ResourceID,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Bibliographic Reference,Copyright Description,Copyright Type,Date of Creation,Date of Publication,Description,Description Type,Document,External Identifier Type,External Source,External XRef,Geometry Qualifier,Information Carrier,Information Carrier Format Type,Information Resource Type,Keyword,Language_Type,Place Address,Place Description,Primary Reference Number,Spatial Coordinates Geometry,Temporal Coverage Timespan,Title,Title Type
f179ba60-1168-0138-9141-740f24312a1c,Postal Address,St. Mary,Parish,"Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 13.10.2017) Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey. McBride, C. 2003. A Condition and Treatment Report. ‘Offshore Art & Design’ unpublished report 26/08. McCormack, J. 2015. Channel Island Houses. John McCormack, Cheltenham.  Rodwell, W. 2002. An Archaeological Survey and Analysis of the House and Farm Buildings. Warwick Rodwell Consultant Archaeologist and Architectural Historian unpublished report 30/05. Stevens, J. 1977. Old Jersey Houses, Volume Two. Phillimore, London. Stevens, J. 1980. Old Jersey Houses, Volume One. Fourth ed.Phillimore, London. The National Trust. c.2003. Heritage Open Day - The Elms. [Leaflet]",,,2020-12-03,,,,,Listed building,Government of Jersey,MY0014,,1. Government of Jersey 2. Jersey Archive 3. Société Jersiaise Photographic Archive 4. Société Jersiaise 5. Jersey Heritage Archaeology collection  6. Jersey Heritage Art collection ,,"1. Listing photographs, Historic Environment Resurvey 2. Will (D/Y/A/115/80)  3. Photographs (SJPA/006433-34,  SJPA/006443, SJPA/006500, SJPA/006501) 4. Sites and Monuments Database 5. Artefacts (A/0004477--8)  6. Drawing (SJA/0000/03662) ","Richmond Map,Place of Worship",,"The Elms, La Chêve Rue",,0800014,GEOMETRYCOLLECTION (POINT (-2.165163 49.229434)),,The Elms,
29955bf0-1168-0138-9135-740f24312a1c,Postal Address,St. Saviour,Parish,"Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey.",,,2020-02-04,,,,,Listed building,Government of Jersey,SA0345,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"Mon Plaisir, La Route de Maufant",,1100345,GEOMETRYCOLLECTION (POINT (-2.065244 49.213377)),,Mon Plaisir,
fcb217b0-149c-0138-c577-740f24312a1c,Postal Address,St. Ouen,Parish,"Ginns, M. 1999. Jersey's German Bunkers. Channel Islands Occupation Society (Jersey), St. Ouen. Nicolle, S. 2014. What's Your Street's Story?: Plemont & Portinfer [Unpublished talk] States of Jersey. 1975. German Occupation Sites Map. States of Jersey Library Service. ",,,2018-11-19,,,,,,,,,,,,German Occupation,,"Site of Strongpoint Plemont, La Route de Plémont",,0900368,GEOMETRYCOLLECTION (POINT (-2.226177 49.257324)),,Site of Strongpoint Plemont,
57181ab0-1e0c-0138-8d56-740f24312a1c,,St. Brelade,Parish,,,,2020-01-08,,,,,,,,,1. Société Jersiaise,,"1. Fieldwalking card, Sites and Monuments Database",,,,,0100437,GEOMETRYCOLLECTION (POINT (-2.167624 49.167643)),,Lithic implement,
b388f9c0-149f-0138-c57a-740f24312a1c,Postal Address,Trinity,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2018-05-18,,,,,Listed building,Government of Jersey,TR0196,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"Springfield House, La Route de la Trinité",,1200196,GEOMETRYCOLLECTION (POINT (-2.095313 49.218746)),,Springfield House,
049df940-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2019-08-19,,,,,Listed building,Government of Jersey,HE0048,,1. Government of Jersey 2. Jersey Heritage Social History collection,,"1. Listing photographs, Historic Environment Resurvey 2. Postcard (JERSM/2004/00087/714)",,,"10, Beresford Street",,0400048,GEOMETRYCOLLECTION (POINT (-2.103621 49.185171)),,10,
46af34c0-116c-0138-914a-740f24312a1c,Field Number,St. John,Parish,"Finch, O. & Hills, R. 2007. Jersey Heritage Archaeological Evaluation. Unpublished research for States of Jersey, Jersey.",,,2018-05-22,,,,,,,JN0187,,1. Société Jersiaise ,,1. Sites and Monuments Database ,,,"La Houguette, Field J55",,0500177,GEOMETRYCOLLECTION (POINT (-2.157514 49.254261)),,La Houguette,
29923200-1168-0138-9135-740f24312a1c,Postal Address,St. Saviour,Parish,"Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 13.03.2018) White, J. 2016. What's Your Street's Story?: Longueville [Unpublished talk] ",,,2020-02-04,,,,,Listed building,Government of Jersey,SA0203,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"Peirson House, Longueville Road",,1100203,GEOMETRYCOLLECTION (POINT (-2.075384 49.182866)),,Peirson House,
b387efd0-149f-0138-c57a-740f24312a1c,Postal Address,Trinity,Parish,"Glendinning, A. 1998. The Jersey Datestones Register. Retrieved from http://members.societe-jersiaise.org/alexgle/stonejsy.html (Date Accessed: 09.04.2018)  Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey.  Lake, J. & Edwards, B. 2008. Historic Farmsteads and Landscapes in Jersey: their character and local distinctiveness. Jersey Heritage Trust, Jersey.",,,2018-05-18,,,,,Listed building,Government of Jersey,TR0169,,1. Government of Jersey,,"1. Listing photographs, Historic Environment Resurvey",,,"Mayfield, La Rue de la Petite Falaise",,1200169,GEOMETRYCOLLECTION (POINT (-2.090197 49.236368)),,Mayfield,
04a60f50-149c-0138-c574-740f24312a1c,Postal Address,St. Helier,Parish,"Island Development Committee. 1992. Register of Buildings of Architectural and Historical Importance in Jersey. Island Development Committee, Jersey. ",,,2019-08-20,,,,,Listed building,Government of Jersey,HE0264,,1. Government of Jersey ,,"1. Listing photographs, Historic Environment Resurvey ",,,"18, Halkett Street",,0400264,GEOMETRYCOLLECTION (POINT (-2.10357 49.184705)),,18,
