ResourceID,Activity Type,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Cadastral Reference,Description,Description Type,End Date of Existence,End Date Type,External Identifier Type,External Source,External XRef,From Date,Geometry Qualifier,Keyword,Name,Name Type,Place Address,Place Description,Primary Reference Number,Spatial Coordinates Geometry,Start Date of Existence,Start Date Type,To Date
5055c600-116c-0138-914f-740f24312a1c,,Postal Address,St. Brelade,Parish,,,,,,Listed building,Government of Jersey,BR0104,,,,Waldegrave,,"Waldegrave, La Route de la Haule",,0100104,GEOMETRYCOLLECTION (POINT (-2.162181 49.19516)),,,
0624eef0-116c-0138-9143-740f24312a1c,,Postal Address,St. Martin,Parish,,,,,,,,,,,Richmond Map,La Hanniere,,"La Hanniere, La Rue du Rât",,0700300,GEOMETRYCOLLECTION (POINT (-2.057259 49.233331)),,,
061cbc10-116c-0138-9143-740f24312a1c,,Postal Address,St. Martin,Parish,,,,,,Listed building,Government of Jersey,MN0035,,,Richmond Map,Cloverley,,"Cloverley, La Grande Route de Faldouet",,0700035,GEOMETRYCOLLECTION (POINT (-2.034248 49.208128)),,,
29784470-1168-0138-9134-740f24312a1c,,Field Number,St. Saviour,Parish,,,,,,,,,,,,Artefact Scatter,,"Artefact Scatter, Field S617",,1100372,GEOMETRYCOLLECTION (POINT (-2.085962 49.194353)),,,
8b6c7e40-1498-0138-c570-740f24312a1c,,Postal Address,St. Clement,Parish,,,,,,Listed building,Government of Jersey,CL00074,,,,Fair Oaks,,"Fair Oaks, La Grande Route de St. Clement",,0200074,GEOMETRYCOLLECTION (POINT (-2.066446 49.171271)),,,
046bc090-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE1094,,,,7,,"7, Le Havre des Pas",,0401094,GEOMETRYCOLLECTION (POINT (-2.103187 49.177022)),,,
84df7010-1168-0138-913a-740f24312a1c,,Field Number,Grouville,Parish,,,,,,,,,,,Mill,Site of Moulin de Malet,,"Site of Moulin de Malet, Field G211",,0300274,GEOMETRYCOLLECTION (POINT (-2.047311 49.190117)),,,
0bd38070-116c-0138-9146-740f24312a1c,,Postal Address,St. Lawrence,Parish,,,,,,Listed building,Government of Jersey,LA0068,,,,Walnut Farm,,"Walnut Farm, La Rue de la Ville au Bas",,0600068,GEOMETRYCOLLECTION (POINT (-2.157051 49.2139)),,,
045dacb0-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE0689,,,,Vernon House,,"Vernon House, La Route de St Aubin",,0400689,GEOMETRYCOLLECTION (POINT (-2.125307 49.193488)),,,
469062a0-116c-0138-9149-740f24312a1c,,Postal Address,St. John,Parish,,,,,,Listed building,Government of Jersey,JN0196,,,,Fairways,,"Fairways, La Rue des Landes",,0500196,GEOMETRYCOLLECTION (POINT (-2.141744 49.247332)),,,
045d8ee0-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,Listed building,Government of Jersey,HE0686,,,,52,,"52, St Saviour's Road",,0400686,GEOMETRYCOLLECTION (POINT (-2.098637 49.185828)),,,
296c41a0-1168-0138-9134-740f24312a1c,,Postal Address,St. Saviour,Parish,,,,,,Listed building,Government of Jersey,SA0070,,,,Beau Regard ,,"Beau Regard , Plat Douet Road",,1100070,GEOMETRYCOLLECTION (POINT (-2.087028 49.180924)),,,
04859aa0-149c-0138-c573-740f24312a1c,,Postal Address,St. Helier,Parish,,,,,,,,,,,Richmond Map,Site of 13,,"Site of 13, La Motte Street",,0400437,GEOMETRYCOLLECTION (POINT (-2.10225 49.183712)),,,
