ResourceID,Administrative Subdivision Type,External Identifier Type,End Date of Existence,Place Description,End Date Type,Description Type,Place Address,Activity Type,Spatial Coordinates Geometry,Address Type,Keyword,Name Type,Administrative Subdivision Name,Description,To Date,Start Date Type,Name,Primary Reference Number,From Date,Geometry Qualifier,Start Date of Existence,External Source,External XRef,Cadastral Reference
84db36d0-1168-0138-913a-740f24312a1c,Parish,Listed building,,,,,"Le Chantier, Gorey Village Main Road",,GEOMETRYCOLLECTION (POINT (-2.0324 49.197462)),Postal Address,,,Grouville,,,,Le Chantier,0300229,,,,Government of Jersey,GR0229,
46911cb0-116c-0138-9149-740f24312a1c,Parish,,,,,,"Le Rondin, Les Chenolles",,GEOMETRYCOLLECTION (POINT (-2.1212 49.235987)),Postal Address,Richmond Map,,St. John,,,,Le Rondin,0500224,,,,,,
045ec390-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"24, Vauxhall Street",,GEOMETRYCOLLECTION (POINT (-2.103568 49.187924)),Postal Address,,,St. Helier,,,,24,0400726,,,,Government of Jersey,HE0726,
fc7f6b80-149c-0138-c576-740f24312a1c,Parish,Listed building,,,,,"La Hauteur, La Rue Freule",,GEOMETRYCOLLECTION (POINT (-2.231586 49.243005)),Postal Address,,,St. Ouen,,,,La Hauteur,0900069,,,,Government of Jersey,OU0069,
505cfee0-116c-0138-914f-740f24312a1c,Parish,Listed building,,,,,"La Solitude, La Ruelle ès Ruaux",,GEOMETRYCOLLECTION (POINT (-2.162046 49.195626)),Postal Address,,,St. Brelade,,,,La Solitude,0100278,,,,Government of Jersey,BR0278,
04562b20-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"The Old Farm, La Rue de Trachy",,GEOMETRYCOLLECTION (POINT (-2.130219 49.198476)),Postal Address,Richmond Map,,St. Helier,,,,The Old Farm,0400482,,,,Government of Jersey,HE0482,
505cf4f0-116c-0138-914f-740f24312a1c,Parish,Listed building,,,,,"Ammunition Tunnel No 5, Railway Walk",,GEOMETRYCOLLECTION (POINT (-2.171975 49.187489)),Postal Address,"German Occupation,Railway",,St. Brelade,,,,Ammunition Tunnel No 5,0100276,,,,Government of Jersey,BR0276,
046b2130-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"1-2 Hampton Villas, Hampton Place",,GEOMETRYCOLLECTION (POINT (-2.110251 49.188727)),Postal Address,,,St. Helier,,,,1-2 Hampton Villas,0401074,,,,Government of Jersey,HE1074,
b364a590-149f-0138-c579-740f24312a1c,Parish,Listed building,,,,,"Les Catieaux, La Rue des Câtieaux",,GEOMETRYCOLLECTION (POINT (-2.081551 49.22744)),Postal Address,Richmond Map,,Trinity,,,,Les Catieaux,1200012,,,,Government of Jersey,TR0012,
0620e110-116c-0138-9143-740f24312a1c,Parish,Listed building,,,,,"Rockstone, La Rue des Vaux de l'Eglise",,GEOMETRYCOLLECTION (POINT (-2.043441 49.220166)),Postal Address,Richmond Map,,St. Martin,,,,Rockstone,0700142,,,,Government of Jersey,MN0142,
04530d10-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"9, Pier Road",,GEOMETRYCOLLECTION (POINT (-2.107073 49.182528)),Postal Address,,,St. Helier,,,,9,0400396,,,,Government of Jersey,HE0396,
b36c0ea0-149f-0138-c579-740f24312a1c,Parish,Listed building,,,,,"Ebenezer Methodist Chapel , La Route d'Ebenezer",,GEOMETRYCOLLECTION (POINT (-2.099448 49.23824)),Postal Address,Place of Worship,,Trinity,,,,Ebenezer Methodist Chapel ,1200139,,,,Government of Jersey,TR0139,
84daa240-1168-0138-913a-740f24312a1c,Parish,Listed building,,,,,"Batterie Brauchitsch, Divisional Artillery Observation Post. , Le Côtil Vautier ",,GEOMETRYCOLLECTION (POINT (-2.039029 49.197407)),Postal Address,German Occupation,,Grouville,,,,"Batterie Brauchitsch, Divisional Artillery Observation Post. ",0300201,,,,Government of Jersey,GR0201,
29774db0-1168-0138-9134-740f24312a1c,Parish,,,,,,"Welton Farm, Prince's Tower Road",,GEOMETRYCOLLECTION (POINT (-2.078874 49.197225)),Postal Address,,,St. Saviour,,,,Welton Farm,1100308,,,,,,
0456f970-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"10, Victoria Street",,GEOMETRYCOLLECTION (POINT (-2.103983 49.188918)),Postal Address,,,St. Helier,,,,10,0400500,,,,Government of Jersey,HE0500,
0bdbc340-116c-0138-9146-740f24312a1c,Parish,,,,,,"La Ville au Bas, La Rue de la Ville au Bas",,GEOMETRYCOLLECTION (POINT (-2.156302 49.219488)),Postal Address,,,St. Lawrence,,,,La Ville au Bas,0600225,,,,,,
0447ef80-149c-0138-c573-740f24312a1c,Parish,Listed building,,,,,"15, Chevalier Road",,GEOMETRYCOLLECTION (POINT (-2.101406 49.188264)),Postal Address,,,St. Helier,,,,15,0400101,,,,Government of Jersey,HE0101,
2eee5590-1168-0138-9137-740f24312a1c,Parish,Listed building,,,,,"Boscobel Farm, La Rue des Vignes",,GEOMETRYCOLLECTION (POINT (-2.171894 49.199962)),Postal Address,Richmond Map,,St. Peter,,,,Boscobel Farm,1000099,,,,Government of Jersey,PE0099,
84d6fc20-1168-0138-913a-740f24312a1c,Parish,Listed building,,,,,"St. Aidans, La Grande Route des Sablons",,GEOMETRYCOLLECTION (POINT (-2.033181 49.16505)),Postal Address,,,Grouville,,,,St. Aidans,0300076,,,,Government of Jersey,GR0076,
1baae198-866a-11eb-8701-0275d4869ef4,Parish,,,,,Archaeological Excavation,58 King Street,Archaeological Excavation,GEOMETRYCOLLECTION (POINT (-2.107891 49.184743)),Postal Address,,,St. Helier,"This site was excavated as part of archaeological fieldwork in the town of St Helier, led by Margaret Finlaison in the 1970s-1990s. The investigations were written up in a report by Charlotte Hotton in 1996.  Two trenches were excavated in December 1976 at 58 King Street, the site of Marks and Spencer. This was in conjunction with one trench at 54 King Street excavated in 1971 (0401273). These test trenches were opened around the perimeter of shops which were being demolished for the construction of Marks and Spencer.  A 13th-14th century building was found in the centre of the site, a 15th-16th century building was found nearby and an 18th century building was found on the road. The 18th century house had a small forecourt, but the full depth of the forecourt is unknown as there was only 1.5m between the house wall and the present day pavement. Imbedded in its surface was the greater part of a large white earthenware jug, lined with green glaze, it would date to 18th century and French in style. In the trench at the edge of the road: under the marble slabs set in concrete of the shop entrance was a mixture of granite rubble and clay containing pots and glass which date between 16th and 19th centuries, together with ash and coal. This represented the demolition of an earlier building fronting the road. Underneath this lay the remains of the footing of this building and a clay spread or forecourt sloping downwards towards the edge of the road. The sand below contained medieval building. ",December 1976,,58 King Street,0401277,December 1976,,,,,
8b6e00c0-1498-0138-c570-740f24312a1c,Parish,Listed building,,,,,"St. Clement's School, La Rue de la Chapelle ",,GEOMETRYCOLLECTION (POINT (-2.069493 49.170677)),Postal Address,,,St. Clement,,,,St. Clement's School,0200112,,,,Government of Jersey,CL0112,
296fed80-1168-0138-9134-740f24312a1c,Parish,Listed building,,,,,"Telephone Exchange Bunker, Festung Nachrichtennetz, Field S162",,GEOMETRYCOLLECTION (POINT (-2.066326 49.208261)),Field Number,German Occupation,,St. Saviour,,,,"Telephone Exchange Bunker, Festung Nachrichtennetz",1100181,,,,Government of Jersey,SA0181,
061e7ec0-116c-0138-9143-740f24312a1c,Parish,Listed building,,,,,"Le Moulin de Rozel (Rozel Mill), La Rue du Moulin",,GEOMETRYCOLLECTION (POINT (-2.050636 49.229089)),Postal Address,"Mill,German Occupation,Richmond Map",,St. Martin,,,,Le Moulin de Rozel (Rozel Mill),0700081,,,,Government of Jersey,MN0081,
fc7dd1a0-149c-0138-c576-740f24312a1c,Parish,Listed building,,,,,"Les Chataigniers, La Rue de la Croix",,GEOMETRYCOLLECTION (POINT (-2.195434 49.233598)),Postal Address,,,St. Ouen,,,,Les Chataigniers,0900024,,,,Government of Jersey,OU0024,
84e12560-1168-0138-913a-740f24312a1c,Parish,,,,,,,,GEOMETRYCOLLECTION (POINT (-2.034088 49.165784)),,,,Grouville,,,,,0300329,,,,,,
