ResourceID,Title,Place Description,Language_Type,Geometry Qualifier,Title Type,Keyword,Address Type,Temporal Coverage Timespan,Administrative Subdivision Name,External XRef,Administrative Subdivision Type,Place Address,Copyright Description,Copyright Type,Primary Reference Number,Description,External Identifier Type,Information Carrier Format Type,Spatial Coordinates Geometry,Date of Publication,Information Carrier,Date of Creation,Bibliographic Reference,External Source,Document,Information Resource Type,Description Type
0bf83830-116c-0138-9147-740f24312a1c,,,,,,,,,,,,,,,,,,,GEOMETRYCOLLECTION (POINT (-2.120443 49.224701)),,,,,,,,
65ab4fa6-f5ca-11eb-8701-0275d4869ef4,,,,,,,,,St. Helier,,Parish,,,,,,,,,,,,,,,,
